STABBR,UNITID,INSTNM,CITY,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
PA,215992,Laurel Technical Institute,Sharon,16146,0.8776,176.0,9914.0,
PA,216010,Shippensburg University of Pennsylvania,Shippensburg,17257-2299,0.8355,5464.0,12086.0,
PA,216038,Slippery Rock University of Pennsylvania,Slippery Rock,16057-1383,0.7149,7539.0,10205.0,
PA,216047,Saint Charles Borromeo Seminary-Overbrook,Wynnewood,19096,1.0,75.0,20655.0,
PA,216074,South Hills Beauty Academy,Pittsburgh,15216,,144.0,,
PA,216083,South Hills School of Business & Technology,State College,16801-4516,0.9931,414.0,16608.0,
PA,216162,St Lukes Hospital School of Nursing,Bethlehem,18015,,198.0,,
PA,216223,The Beauty Institute,Stroudsburg,18360-1720,,27.0,,
PA,216278,Susquehanna University,Selinsgrove,17870-1025,0.6953,2283.0,45470.0,
PA,216287,Swarthmore College,Swarthmore,19081,0.107,1565.0,50822.0,
PA,216296,Thaddeus Stevens College of Technology,Lancaster,17602-3198,0.8893,1139.0,7830.0,
PA,216311,Talmudical Yeshiva of Philadelphia,Philadelphia,19131,0.8444,114.0,8900.0,
PA,216339,Temple University,Philadelphia,19122-6096,0.5667,29007.0,16658.0,
PA,216348,Theological Seminary of the Reformed Episcopal Church,Blue Bell,19422-1257,,,,
PA,216357,Thiel College,Greenville,16125-2181,0.6287,736.0,30830.0,
PA,216366,Thomas Jefferson University,Philadelphia,19107,,731.0,,
PA,216418,Fortis Institute-Erie,Erie,16506-1013,,391.0,13157.0,
PA,216427,Triangle Tech Inc-Erie,Erie,16502-2594,,61.0,16408.0,
PA,216436,Triangle Tech Inc-Pittsburgh,Pittsburgh,15214-3897,,144.0,16640.0,
PA,216445,Triangle Tech Inc-Greensburg,Greensburg,15601-3304,,121.0,16594.0,
PA,216454,Triangle Tech Inc-Dubois,Falls Creek,15840-3333,,143.0,16646.0,
PA,216463,Trinity Episcopal School for Ministry,Ambridge,15003-2397,,,,
PA,216524,Ursinus College,Collegeville,19426-1000,0.7821,1485.0,50360.0,
PA,216542,University of Valley Forge,Phoenixville,19460-2373,0.5412,669.0,21370.0,
PA,216551,Valley Forge Military College,Wayne,19087-3695,,265.0,29975.0,
PA,216579,Venus Beauty Academy,Sharon Hill,19079,,112.0,,
PA,216597,Villanova University,Villanova,19085-1699,0.36,6886.0,51284.0,
PA,216630,Washington Hospital School of Nursing,Washington,15301,,49.0,,
PA,216649,Washington Hospital School of Radiologic Technology,Washington,15301,,13.0,11600.0,
PA,216667,Washington & Jefferson College,Washington,15301,0.4785,1378.0,46628.0,
PA,216694,Waynesburg University,Waynesburg,15370-1257,0.9534,1371.0,24010.0,
PA,216746,Welder Training and Testing Institute,Allentown,18109-3253,,72.0,,
PA,216764,West Chester University of Pennsylvania,West Chester,19383,0.685,14223.0,10111.0,
PA,216773,Western Pennsylvania Hospital School of Nursing,Pittsburgh,15224,0.5769,107.0,9255.0,
PA,216782,Pittsburgh Career Institute,Pittsburgh,15219-1907,,197.0,24919.0,
PA,216807,Westminster College,New Wilmington,16172,0.7248,1174.0,36276.0,
PA,216816,Westminster Theological Seminary,Glenside,19038,,,,
PA,216825,Westmoreland County Community College,Youngwood,15697-1895,,4047.0,5190.0,
PA,216852,Widener University,Chester,19013-5792,0.6543,3224.0,44166.0,
PA,216931,Wilkes University,Wilkes-Barre,18766,0.7531,2379.0,34896.0,
PA,217013,Wilson College,Chambersburg,17201-1285,0.5877,697.0,24452.0,
PA,217040,Yeshivath Beth Moshe,Scranton,18505-2196,0.9167,34.0,9200.0,
PA,217059,York College of Pennsylvania,York,17403-3651,0.699,4079.0,19430.0,
PA,217077,YTI Career Institute-York,York,17402,,1165.0,,
PA,246071,Career Technology Center of Lackawanna County,Scranton,18508,,72.0,,
PA,248624,Fayette County Career & Technical Institute Practical Nursing Program,Uniontown,15401,,90.0,,
PA,248633,Franklin County Career and Technology Center,Chambersburg,17202,,88.0,,
PA,249609,Fortis Institute-Forty Fort,Forty Fort,18704-2936,,159.0,15787.0,
PA,250027,Laurel Business Institute,Uniontown,15401,0.8559,237.0,9914.0,
PA,250285,Aviation Institute of Maintenance-Philadelphia,Philadelphia,19114-1018,,274.0,16757.0,
PA,251075,Brightwood Career Institute-Harrisburg,Harrisburg,17111,,178.0,,
PA,260363,Greene County Career and Technology Center,Waynesburg,15370-8281,,25.0,,
PA,261861,West Virginia Junior College-United Career Institute,Mount Braddock,15465,,78.0,13170.0,
PA,365383,Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,18705-0699,,110.0,,
PA,366252,Pennsylvania College of Technology,Williamsport,17701-5799,,5419.0,16350.0,
PA,366632,Mercer County Career Center,Mercer,16137,,31.0,,
PA,367431,Butler Beauty Academy-New Castle Beauty Academy,New Castle,16101,,17.0,,
PA,368407,Western Area Career & Technology Center,Canonsburg,15317,0.76,106.0,,
PA,369668,Central Pennsylvania Institute of Science and Technology,Pleasant Gap,16823,,255.0,,
PA,375939,YTI Career Institute-Altoona,Altoona,16602,,172.0,,
PA,375966,Eastern Center for Arts and Technology,Willow Grove,19090,0.8,59.0,,
PA,375984,Empire Beauty School-Center City Philadelphia,Philadelphia,19102-2701,,317.0,,
PA,383367,Greater Altoona Career & Technology Center,Altoona,16602-3616,,234.0,,
PA,385503,Fortis Institute-Scranton,Scranton,18509-2903,,287.0,27246.0,
PA,406413,DCI Career Institute,Monaca,15061,,39.0,,
PA,406422,Central Susquehanna Intermediate Unit LPN Career,Lewisburg,17837,0.9733,101.0,,
PA,407629,Lake Erie College of Osteopathic Medicine,Erie,16509-1025,,,,
PA,408729,Laurel Technical Institute,MEADVILLE,16335,0.7792,96.0,9914.0,
PA,414540,Jean Madeline Aveda Institute,Philadelphia,19147,,268.0,,
PA,414911,Pennsylvania Highlands Community College,Johnstown,15904-2949,,1014.0,5670.0,
PA,415039,Empire Beauty School-Hanover,Hanover,17331,,59.0,,
PA,417840,Prism Career Institute-Philadelphia,Philadelphia,19152,,83.0,,
PA,418409,York County School of Technology-Adult & Continuing Education,York,17402-4696,,104.0,,
PA,418427,Chester County Intermediate Unit,Downingtown,19335,0.5532,104.0,,
PA,418445,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,15851,0.7895,24.0,,
PA,418454,Greater Johnstown Career and Technology Center,Johnstown,15904-2998,,189.0,,
PA,418481,Mifflin County Academy of Science and Technology,Lewistown,17044-1697,0.7667,39.0,,
PA,418515,Lenape Technical School Practical Nursing Program,Ford City,16226,,168.0,,
PA,418524,Venango County Area Vocational Technical School,Oil City,16301,0.625,61.0,,
PA,418533,Lancaster County Career and Technology Center,Willow Street,17584,,422.0,,
PA,418542,Lebanon County Area Vocational Technical School,Lebanon,17042,,165.0,,
PA,418560,Indiana County Technology Center,Indiana,15701-1465,,95.0,,
PA,418588,Northern Tier Career Center,Towanda,18848-9731,0.7619,41.0,,
PA,418603,Clarion County Career Center Practical Nursing Program,Shippenville,16254-8975,0.7714,63.0,,
PA,418612,Hazleton Area Career Center,Hazle TWP.,18202,,19.0,,
PA,418658,All-State Career School-Pittsburgh,West Mifflin,15122,,189.0,,
PA,419332,Forbes Road Career and Technology Center,Monroeville,15146,,5.0,,
PA,419341,Jna Institute of Culinary Arts,Philadelphia,19146,,46.0,12725.0,
PA,419484,Crawford County Career and Technical Center Practical Nursing Program,Meadville,16335,,28.0,,
PA,430227,Empire Beauty School-Monroeville,Monroeville,15146-2229,,119.0,,
PA,430908,Clearfield County Career and Technology Center,Clearfield,16830,,64.0,,
PA,430971,Delaware County Technical School-Practical Nursing Program,Broomall,19008,1.0,43.0,,
PA,431600,UPMC Mercy School of Nursing,Pittsburgh,15219-5166,0.8571,154.0,15315.0,
PA,438212,McCann School of Business & Technology,Pottsville,17901,,188.0,11005.0,
PA,438221,Platt College-McCann-Lewisburg,Lewisburg,17837,,265.0,11346.0,
PA,440174,Career Training Academy-Pittsburgh,Pittsburgh,15229,,65.0,,
PA,440217,Huntingdon County Career and Technology Center,Mill Creek,17060,,36.0,,
PA,441089,Wyotech-Blairsville,Blairsville,15717-1301,,499.0,,
PA,441672,Susquehanna County Career and Technology Center,Springville,18844,,66.0,,
PA,442064,Won Institute of Graduate Studies,Glenside,19038-4535,,,,
PA,442356,Pennsylvania College of Health Sciences,Lancaster,17601,0.6658,1532.0,27568.0,
PA,443377,Triangle Tech Inc-Sunbury,Sunbury,17801,,76.0,16779.0,
PA,443395,McCann School of Business & Technology,Dickson City,18519,,5.0,9720.0,
PA,443784,Strayer University-Pennsylvania,Trevose,19053,,1788.0,13857.0,
PA,444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,15214-2229,,,,
PA,444307,Empire Beauty School-West Mifflin,West Mifflin,15122,,86.0,,
PA,444811,PITC Institute,Wyncote,19095,,216.0,,
PA,445799,Universal Technical Institute of Pennsylvania Inc,Exton,19341,,1311.0,,
PA,446455,Precision Manufacturing Institute,Meadville,16335,,34.0,15662.0,
PA,446640,Harrisburg University of Science and Technology,Harrisburg,17101-2208,,476.0,23900.0,
PA,446996,Chambersburg Beauty School,Chambersburg,17201,,83.0,,
PA,448691,International Institute for Restorative Practices,Bethlehem,18018,,,,
PA,448770,Automotive Training Center-Warminster,Warminster,18974,,285.0,,
PA,448859,Triangle Tech Inc-Bethlehem,Bethlehem,18017,,115.0,16779.0,
PA,450605,Empire Beauty School-North Hills,Pittsburgh,15237,,74.0,,
PA,451495,CDE Career Institute,Tannersville,18372,,27.0,,
PA,451662,The Art Institute of Pittsburgh-Online Division,Pittsburgh,15222-4332,,2936.0,17014.0,
PA,455947,Pulse Beauty Academy,Downington,19335,,99.0,,
PA,456542,Geisinger Commonwealth School of Medicine,Scranton,18509,,,,
PA,456579,Platt College-McCann-Allentown,Allentown,18109,,568.0,11180.0,
PA,457943,Somerset County Technology Center,Somerset,15501-4309,,70.0,,
PA,457952,Metro Beauty Academy,Allentown,18106,,168.0,,
PA,458450,McCann School of Business & Technology,Carlisle,17013,,84.0,9828.0,
PA,458830,Empire Beauty School-Springfield,Springfield,19064,,133.0,,
PA,460385,Geisinger-Lewistown Hospital School of Nursing,Lewistown,17044,0.4267,46.0,18142.0,
PA,460598,Harris School of Business-Upper Darby Campus,Upper Darby,19082,,578.0,,
PA,461193,Bella Capelli Academy,Monroeville,15146-2388,,181.0,,
PA,461218,Institute of Medical Careers,Pittsburgh,15235-3718,,159.0,,
PA,469586,Cortiva Institute-York,York,17402-8046,,78.0,,
PA,474997,All-State Career School-Health Sciences,Essington,19029,,355.0,16648.0,
PA,479956,Pennsylvania State University-World Campus,University Park,16802-1503,0.6679,8108.0,13988.0,
PA,480134,Elizabethtown College School of Continuing and Professional Studies,Elizabethtown,17022-2298,0.9286,328.0,,
PA,480189,Mercyhurst University-North East Campus,North East,16428,,751.0,18450.0,
PA,481021,Berks Career & Technology Center,Leesport,19533-9112,,39.0,,
PA,482608,DeVry University-Pennsylvania,Ft. Washington,19034,1.0,338.0,17572.0,
PA,482927,McCann School of Business & Technology,Wilkes-Barre,18702,,125.0,11640.0,
PA,483054,Barber School of Pittsburgh,Pittsburgh,15220,,78.0,,
PA,483346,Divine Crown Barber & Beauty Academy,Harrisburg,17110,,40.0,,
PA,483753,Champ's Barber School,Lancaster,17602-3809,,37.0,,
PA,483823,Philadelphia Technician Training,Philadelphia,19138-1324,,171.0,,
PA,484783,University of Phoenix-Pennsylvania,Philadelphia,19103,,141.0,9960.0,
PA,485236,Fountain of Youth Academy of Cosmetology,Mars,16046,,36.0,,
PA,485397,Empire Beauty School-Cheltenham,Wyncote,19095,,106.0,,
PA,485856,Studio Incamminati,Philadelphia,19107-1105,1.0,36.0,12625.0,
PA,486105,Professional Academy of Cosmetology,Norristown,19401-0000,,8.0,,
PA,488369,Premier Barber Institute,Norristown,19401-5163,,46.0,,
PA,490258,American Barber Academy,Reading,19611-2040,,49.0,,
PA,20651601,Winebrenner Theological Seminary -,Scotland,172540473,,,,
PA,21078401,The Beauty Institute,Philadelphia,19115,,,,
PA,21130701,Bucks County Community College-Upper Bucks Campus,Perkasie,189440277,,,4418.0,
PA,21130702,Bucks County Community College-Lower Bucks Campus,Bristol,190070277,,,4418.0,
PA,21287801,Harrisburg Area Community College-Lancaster,Lancaster,176023403,,,6473.0,
PA,21287802,Harrisburg Area Community College-Gettysburg,Gettysburg,173253403,,,6473.0,
PA,21287803,Harrisburg Area Community College-Lebanon,Lebanon,170425235,,,6473.0,
PA,21287804,Harrisburg Area Community College-York,York,174045235,,,6473.0,
PA,21429001,New Castle School of Trades,Pulaski,161432522,,,,
PA,21437901,Northampton County Area Community College-Monroe,Tannersville,18372,,,4230.0,
PA,21510501,Villanova University - Summer Music Studies Program,Villanova,190853699,,,,
PA,21608301,South Hills School of Business and Technology-Altoona,Altoona,16602,,,16608.0,
PA,37593901,YTI Career Institute - Altoona,Altoona,166024457,,,,
PA,44378401,Strayer University-Delaware County Campus,Springfield,19064,,,13857.0,
PA,44378403,Strayer University-Center City Campus,Philadelphia,19102,,,13747.0,
PA,44378404,Strayer University-Lower Bucks County Campus,Trevose,19053,,,13857.0,
PA,44378405,Strayer University-Warrendale Campus,Warrendale,15086,,,13857.0,
PA,44378406,Strayer University-Allentown Campus,Center Valley,18034,,,13857.0,
PA,45794301,Somerset County Technology Center - Bedford Site,Bedford,15522,,,,
PA,47503308,Relay Graduate School of Education - Philadelphia & Camden,Philadelphia,191224906,,,,
PA,48305401,Barber School of Pittsburgh - Ambridge,Ambridge,150030000,,,,
DE,130837,Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,19958,,59.0,,
DE,130873,Dawn Career Institute LLC,Newark,19702,,108.0,,
DE,130907,Delaware Technical Community College-Terry,Dover,19901,,12408.0,4848.0,
DE,130934,Delaware State University,Dover,19901,0.4518,3678.0,7868.0,
DE,130943,University of Delaware,Newark,19716,0.6289,18948.0,13160.0,
DE,130989,Goldey-Beacom College,Wilmington,19808,0.5177,770.0,23850.0,
DE,131061,Schilling-Douglas School of Hair Design LLC,Newark,19711,,133.0,,
DE,131098,Wesley College,Dover,19901-3875,0.6151,1342.0,26406.0,
DE,131113,Wilmington University,New Castle,19720,,8346.0,10940.0,
DE,432524,Delaware College of Art and Design,Wilmington,19801-3007,0.79,143.0,25710.0,
DE,441362,Harris School of Business-Wilmington Campus,Wilmington,19803,,219.0,,
DE,444200,Harris School of Business-Dover Campus,Dover,19901,,226.0,,
DE,449472,Delaware Learning Institute of Cosmetology,Dagsboro,19939,,39.0,,
DE,450298,Strayer University-Delaware,Newark,19713,,267.0,13857.0,
DE,451051,Academy of Massage and Bodywork,Bear,19701,,95.0,,
DE,459301,Paul Mitchell the School-Delaware,Newark,19702,,103.0,,
DE,488262,Hair Academy School of Barbering & Beauty,Newark,19713-2305,,33.0,,
DE,13090701,Delaware Technical Community College-Owens,Georgetown,19947,,,4848.0,
DE,13090702,Delaware Technical Community College-Stanton/Wilmington,Wilmington,19801,,,4848.0,
DE,47503303,Relay Graduate School of Education - Delaware,Wilmington,19801,,,,
VA,231280,Paul Mitchell the School-Roanoke,Roanoke,24015,,84.0,,
VA,231411,Advanced Technology Institute,Virginia Beach,23462,0.7954,464.0,13250.0,
VA,231420,Averett University,Danville,24541,0.6102,908.0,33350.0,
VA,231536,Blue Ridge Community College,Weyers Cave,24486-0080,,3054.0,5252.0,
VA,231554,Bluefield College,Bluefield,24605,0.9112,874.0,24800.0,
VA,231581,Bridgewater College,Bridgewater,22812-1599,0.5198,1874.0,33820.0,
VA,231624,William & Mary,Williamsburg,23187-8795,0.3592,6243.0,22044.0,
VA,231651,Regent University,Virginia Beach,23464,0.783,4087.0,17288.0,
VA,231688,Central School of Practical Nursing,Norfolk,23502,,18.0,,
VA,231697,Central Virginia Community College,Lynchburg,24502-2498,,2494.0,4726.0,
VA,231712,Christopher Newport University,Newport News,23606-3072,0.7239,4950.0,13654.0,
VA,231721,Suffolk Beauty Academy,Suffolk,23434-3020,,38.0,,
VA,231785,Bryant & Stratton College-Virginia Beach,Virginia Beach,23462,,475.0,17624.0,
VA,231828,Bryant & Stratton College-Richmond,North Chesterfield,23235,,590.0,17288.0,
VA,231837,Radford University-Carilion,Roanoke,24013,0.3922,771.0,25850.0,
VA,231873,Dabney S Lancaster Community College,Clifton Forge,24422-1000,,650.0,4613.0,
VA,231882,Danville Community College,Danville,24541-4004,,1612.0,4598.0,
VA,231970,Eastern Virginia Medical School,Norfolk,23507,,,,
VA,232016,Centura College-Virginia Beach,Virginia Beach,23452-7431,,150.0,15887.0,
VA,232025,Emory & Henry College,Emory,24327-0947,0.7223,977.0,33700.0,
VA,232043,Eastern Mennonite University,Harrisonburg,22802-2462,0.5373,1089.0,35800.0,
VA,232052,Eastern Shore Community College,Melfa,23410,,406.0,4688.0,
VA,232089,Ferrum College,Ferrum,24088-9000,0.7193,1122.0,33025.0,
VA,232186,George Mason University,Fairfax,22030-4444,0.8132,24395.0,11924.0,
VA,232195,Germanna Community College,Locust Grove,22508-2102,,5020.0,4801.0,
VA,232256,Hampden-Sydney College,Hampden-Sydney,23943-0128,0.5505,1046.0,43940.0,
VA,232265,Hampton University,Hampton,23668-0099,0.362,3786.0,25441.0,
VA,232308,Hollins University,Roanoke,24020,0.4838,628.0,38285.0,
VA,232414,J Sargeant Reynolds Community College,Richmond,23228-2327,,7343.0,4886.0,
VA,232423,James Madison University,Harrisonburg,22807,0.752,19666.0,10830.0,
VA,232450,John Tyler Community College,Chester,23831-5316,,6216.0,4608.0,
VA,232557,Liberty University,Lynchburg,24515,0.2979,45364.0,21310.0,
VA,232566,Longwood University,Farmville,23909,0.9183,4230.0,12720.0,
VA,232575,Lord Fairfax Community College,Middletown,22645,,3947.0,4627.0,
VA,232609,University of Lynchburg,Lynchburg,24501-3113,0.7455,1979.0,37690.0,
VA,232618,Centra College of Nursing,Lynchburg,24501,,302.0,10528.0,
VA,232672,Mary Baldwin University,Staunton,24401,0.947,1058.0,31110.0,
VA,232681,University of Mary Washington,Fredericksburg,22401-5300,0.735,4366.0,12128.0,
VA,232706,Marymount University,Arlington,22207-4299,0.9226,2241.0,30876.0,
VA,232724,Sovah School of Health Professions,Danville,24541,,11.0,,
VA,232788,Mountain Empire Community College,Big Stone Gap,24219,,1543.0,4598.0,
VA,232797,American National University,Salem,24153,,912.0,14886.0,
VA,232867,New River Community College,Dublin,24084-3660,,2444.0,4585.0,
VA,232885,Sentara College of Health Sciences,Chesapeake,23320,,440.0,,
VA,232919,Tidewater Tech-Trades,Norfolk,23502,,359.0,15401.0,
VA,232937,Norfolk State University,Norfolk,23504-8000,0.9013,4643.0,9036.0,
VA,232946,Northern Virginia Community College,Annandale,22003-3796,,40119.0,5498.0,
VA,232982,Old Dominion University,Norfolk,23529,0.8572,19364.0,10050.0,
VA,233019,Patrick Henry Community College,Martinsville,24112,,1481.0,4608.0,
VA,233037,Paul D Camp Community College,Franklin,23851,,726.0,4588.0,
VA,233082,Southside College of Health Sciences,Colonial Heights,23834,,110.0,14202.0,
VA,233091,Miller-Motte Technical College-Lynchburg,Lynchburg,24502,,131.0,10820.0,
VA,233116,Piedmont Virginia Community College,Charlottesville,22902-7589,,3369.0,4678.0,
VA,233277,Radford University,Radford,24142,0.7432,8376.0,10627.0,
VA,233286,Sylvain Melloul International Hair Academy,Lynchburg,24502-2652,,60.0,,
VA,233295,Randolph-Macon College,Ashland,23005-5505,0.6223,1439.0,40000.0,
VA,233301,Randolph College,Lynchburg,24503-1555,0.8644,651.0,38155.0,
VA,233310,Rappahannock Community College,Glenns,23149-2616,,1508.0,4708.0,
VA,233329,Fortis College-Norfolk,Norfolk,23502-4101,,229.0,15200.0,
VA,233338,Richard Bland College,South Prince George,23805-7100,0.3292,882.0,7823.0,
VA,233356,Bon Secours Memorial College of Nursing,Richmond,23227-1149,,477.0,,
VA,233374,University of Richmond,University of Richmond,23173,0.3297,3165.0,50910.0,
VA,233408,Riverside College of Health Careers,Newport News,23601,0.5455,336.0,15849.0,
VA,233426,Roanoke College,Salem,24153-3794,0.6719,1990.0,42819.0,
VA,233480,Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,23227,,29.0,,
VA,233541,Shenandoah University,Winchester,22601-5195,0.8325,2055.0,31920.0,
VA,233611,Southern Virginia University,Buena Vista,24416,0.5616,877.0,15900.0,
VA,233639,Southside Virginia Community College,Alberta,23821,,1579.0,4583.0,
VA,233648,Southwest Virginia Community College,Cedar Bluff,24609,,1621.0,4591.0,
VA,233666,Staunton School of Cosmetology,Staunton,24401-4323,,24.0,,
VA,233684,Strayer University-Virginia,Arlington,22201,,4256.0,13857.0,
VA,233718,Sweet Briar College,Sweet Briar,24595-9998,0.928,281.0,37155.0,
VA,233754,Thomas Nelson Community College,Hampton,23666,,6693.0,4679.0,
VA,233772,Tidewater Community College,Norfolk,23510,,19516.0,5434.0,
VA,233842,Union Presbyterian Seminary,Richmond,23227,,,,
